petal length (cm),petal width (cm),petal_length_width,petal length (cm)^2,petal length (cm) petal width (cm),petal length (cm) petal_length_width,petal length (cm) sepal_bin_0,petal width (cm) petal_length_width,petal width (cm) sepal_bin_0,petal_length_width^2,target
-0.8571428571428574,-0.7857142857142858,0.6734693877551023,0.7346938775510209,0.6734693877551023,-0.5772594752186594,-0.8571428571428574,-0.5291545189504376,-0.7857142857142858,0.4535610162432324,0
-0.8571428571428574,-0.7857142857142858,0.6734693877551023,0.7346938775510209,0.6734693877551023,-0.5772594752186594,-0.8571428571428574,-0.5291545189504376,-0.7857142857142858,0.4535610162432324,0
-0.885714285714286,-0.7857142857142858,0.6959183673469391,0.7844897959183679,0.6959183673469391,-0.6163848396501463,-0.0,-0.5467930029154522,-0.0,0.4843023740108293,0
-0.8285714285714287,-0.7857142857142858,0.6510204081632656,0.6865306122448982,0.6510204081632656,-0.5394169096209915,-0.8285714285714287,-0.511516034985423,-0.7857142857142858,0.42382757184506487,0
-0.8571428571428574,-0.7857142857142858,0.6734693877551023,0.7346938775510209,0.6734693877551023,-0.5772594752186594,-0.8571428571428574,-0.5291545189504376,-0.7857142857142858,0.4535610162432324,0
-0.7714285714285716,-0.6428571428571429,0.4959183673469389,0.5951020408163268,0.4959183673469389,-0.38256559766763865,-0.0,-0.31880466472303215,-0.0,0.24593502707205342,3
-0.8571428571428574,-0.7142857142857143,0.6122448979591839,0.7346938775510209,0.6122448979591839,-0.5247813411078721,-0.8571428571428574,-0.4373177842565599,-0.7142857142857143,0.3748438150770515,0
-0.8285714285714287,-0.7857142857142858,0.6510204081632656,0.6865306122448982,0.6510204081632656,-0.5394169096209915,-0.8285714285714287,-0.511516034985423,-0.7857142857142858,0.42382757184506487,0
0.0,-0.7857142857142858,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.7857142857142858,0.0,0
-0.8285714285714287,-0.8571428571428572,0.7102040816326533,0.6865306122448982,0.7102040816326533,-0.5884548104956271,-0.8285714285714287,-0.6087463556851314,-0.8571428571428572,0.5043898375676804,0
-0.8285714285714287,-0.7857142857142858,0.6510204081632656,0.6865306122448982,0.6510204081632656,-0.5394169096209915,-0.0,-0.511516034985423,-0.0,0.42382757184506487,0
-0.8000000000000002,0.0,-0.0,0.6400000000000002,-0.0,0.0,-0.8000000000000002,-0.0,0.0,0.0,0
-0.8571428571428574,-0.8571428571428572,0.7346938775510207,0.7346938775510209,0.7346938775510207,-0.6297376093294464,-0.8571428571428574,-0.6297376093294463,-0.8571428571428572,0.5397750937109541,0
-0.9428571428571431,-0.8571428571428572,0.8081632653061227,0.888979591836735,0.8081632653061227,-0.7619825072886302,-0.9428571428571431,-0.6927113702623909,-0.8571428571428572,0.6531278633902544,0
0.0,-0.7857142857142858,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0
-0.885714285714286,-0.6428571428571429,0.5693877551020411,0.7844897959183679,0.5693877551020411,-0.5043148688046651,-0.0,-0.3660349854227407,-0.0,0.3242024156601419,0
-0.8571428571428574,-0.7142857142857143,0.6122448979591839,0.7346938775510209,0.6122448979591839,-0.5247813411078721,-0.8571428571428574,-0.4373177842565599,-0.7142857142857143,0.3748438150770515,0
-0.7714285714285716,-0.7142857142857143,0.5510204081632655,0.5951020408163268,0.5510204081632655,-0.42507288629737633,-0.0,-0.3935860058309039,-0.0,0.3036234902124117,0
-0.8285714285714287,0.0,-0.0,0.6865306122448982,-0.0,0.0,-0.8285714285714287,-0.0,0.0,0.0,0
-0.7714285714285716,-0.7857142857142858,0.606122448979592,0.5951020408163268,0.606122448979592,-0.4675801749271139,-0.0,-0.47623906705539376,-0.0,0.3673844231570181,0
-0.8285714285714287,-0.6428571428571429,0.53265306122449,0.6865306122448982,0.53265306122449,-0.4413411078717203,-0.8285714285714287,-0.34241982507288643,-0.6428571428571429,0.28371928363182025,0
-0.9714285714285716,-0.7857142857142858,0.7632653061224492,0.9436734693877555,0.7632653061224492,-0.7414577259475222,-0.9714285714285716,-0.599708454810496,-0.7857142857142858,0.5825739275301962,0
-0.7714285714285716,-0.5714285714285715,0.44081632653061237,0.5951020408163268,0.44081632653061237,-0.340058309037901,-0.7714285714285716,-0.2518950437317785,-0.5714285714285715,0.19431903373594347,0
-0.7142857142857145,-0.7857142857142858,0.5612244897959187,0.5102040816326534,0.5612244897959187,-0.40087463556851344,-0.7142857142857145,-0.4409620991253647,-0.7857142857142858,0.3149729279466892,0
-0.8000000000000002,0.0,-0.0,0.6400000000000002,-0.0,0.0,-0.8000000000000002,-0.0,0.0,0.0,0
-0.8000000000000002,-0.6428571428571429,0.5142857142857145,0.6400000000000002,0.5142857142857145,-0.41142857142857164,-0.8000000000000002,-0.3306122448979593,-0.6428571428571429,0.2644897959183675,0
-0.8285714285714287,-0.7857142857142858,0.6510204081632656,0.6865306122448982,0.6510204081632656,-0.5394169096209915,-0.8285714285714287,-0.511516034985423,-0.7857142857142858,0.42382757184506487,0
